"biosphere","id","river","site","weather","other_weather","start_comment","dissolved_oxygen_ppm","dissolved_oxygen_percent","time","nitrate","phosphate","salinity_ppt","salinity_percent","tds","electrical_conductivity","ph","irrigation_suitability","air_temperature","latitude","longitude","altitude_m","location_accuracy_m","datetime","date","flag_ph","flag_do_ppm","flag_do_percent","flag_ec","flag_temp","any_flag"
"Kruger 2 Canyons BR","Kubjaname Site 3","Kubjaname","Site 3","sunny","","",NA,97.67,"07/10/2024 10:14",NA,NA,NA,NA,NA,320,7.63,"pH reading indicates the water is suitable for irrigation",14.5,-24.3022205,30.5053479,638.6,4.833,2024-07-10 10:14:00,2024-07-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Kub001 US","Kubjaname","Kub001 US","sunny","","",NA,94.77,"07/10/2024 10:16",NA,NA,NA,NA,NA,113.6,7.65,"pH reading indicates the water is suitable for irrigation",14.7,-24.3226412,30.4857946,610,4.75,2024-07-10 10:16:00,2024-07-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Site 1","Olifants","Site 1","sunny","","",NA,141.49,"07/11/2024 09:04",NA,NA,NA,NA,NA,537,8.59,"pH reading indicates the water is NOT suitable for irrigation",13.3,-24.3619567,30.6587183,504.7999878,5,2024-07-11 09:04:00,2024-07-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Oli001 US","Olifants","Oli001 US","other","Sunny and Windy","",NA,150.8,"07/11/2024 07:47",NA,NA,NA,NA,NA,532,8.59,"pH reading indicates the water is NOT suitable for irrigation",11.9,-24.4240023,30.5557818,530.3,4.7,2024-07-11 07:47:00,2024-07-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Treur River Site 1","Treur River","Site 1","sunny","","",11.31,136.89,"07/11/2024 10:21",NA,NA,NA,NA,NA,63.7,7.6,"pH reading indicates the water is suitable for irrigation",11.1,-24.67521167,30.81137167,1035.2,3.2,2024-07-11 10:21:00,2024-07-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 3","Mohlatsengwana","Site 3","sunny","","",14.88,11,"07/11/2024 10:09",NA,NA,NA,NA,NA,57.3,NA,"pH reading indicates the water is NOT suitable for irrigation",11,-24.6541266,31.0440786,583.6,4.4,2024-07-11 10:09:00,2024-07-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 1","Mohlatsengwana","Site 1","sunny","","",13.88,11.8,"07/11/2024 09:40",NA,NA,NA,NA,NA,53.5,NA,"pH reading indicates the water is NOT suitable for irrigation",11.8,-24.6530921,31.0398757,596.5,4.166,2024-07-11 09:40:00,2024-07-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Motlamogatsana Site 1","Motlamogatsana","Site 1","sunny","","",10.34,NA,"07/04/2024 10:28",NA,NA,NA,NA,NA,56.7,8.62,"pH reading indicates the water is NOT suitable for irrigation",14.6,-24.653105,31.0398534,592.9,3.9,2024-07-04 10:28:00,2024-07-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Tshakhuma1","Levubu River","Tshakhuma1","cloudy","","",6.21,63.2,"07/16/2024 09:52",NA,NA,NA,NA,NA,NA,8.05,"pH reading indicates the water is suitable for irrigation",17.1,-23.054107,30.2969288,664,5,2024-07-16 09:52:00,2024-07-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 1","Levubu River","Mulenzhe site 1","cloudy","","",1.02,11.2,"07/16/2024 10:14",NA,NA,NA,NA,NA,164.5,8.12,"pH reading indicates the water is suitable for irrigation",17,-22.97115551,30.60374676,486.3719564,4.9,2024-07-16 10:14:00,2024-07-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 1","Levubu River","Mulenzhe site 1","cloudy","","",1.02,11.2,"07/16/2024 10:14",NA,NA,NA,NA,NA,164.5,8.12,"pH reading indicates the water is suitable for irrigation",17,-22.9712333,30.6037293,507.2999878,4.858,2024-07-16 10:14:00,2024-07-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Blyde river Blyde river","Blyde river","Blyde river","sunny","","",9.4,113.77,"07/17/2024 08:11",NA,NA,NA,NA,NA,15.95,8.08,"pH reading indicates the water is suitable for irrigation",13.2,-24.680005,30.80180167,1088.1,3.6,2024-07-17 08:11:00,2024-07-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Blyde river Blyde river","Blyde river","Blyde river","sunny","","",11.2,NA,"07/17/2024 09:01",NA,NA,NA,NA,NA,167.6,8.05,"pH reading indicates the water is suitable for irrigation",12.7,-24.67899167,30.802405,1099.3,2.2,2024-07-17 09:01:00,2024-07-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Blyde river Blyde river","Blyde river","Blyde river","sunny","","",11.2,135.55,"07/17/2024 09:02",NA,NA,NA,NA,NA,167.6,8.05,"pH reading indicates the water is suitable for irrigation",12.7,-24.67899167,30.802405,1099.3,2.2,2024-07-17 09:02:00,2024-07-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 3","Kubjaname","Site 3","sunny","","",NA,67.17,"07/17/2024 10:48",NA,NA,NA,NA,NA,328,8,"pH reading indicates the water is suitable for irrigation",18,-24.302277,30.5052148,642.8,3.34,2024-07-17 10:48:00,2024-07-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 1","Levubu River","Lambani site 1","sunny","","",NA,NA,"07/17/2024 10:56",NA,NA,NA,NA,NA,128.5,7.63,"pH reading indicates the water is suitable for irrigation",17.5,-22.7454468,30.884605,448.9,4.82,2024-07-17 10:56:00,2024-07-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 1","Levubu River","Lambani site 1","sunny","","",NA,NA,"07/18/2024 07:38",NA,NA,NA,NA,NA,128.5,7.63,"pH reading indicates the water is suitable for irrigation",17.5,-22.7454468,30.884605,448.9,4.82,2024-07-18 07:38:00,2024-07-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Oli001 US","Olifants","Oli001 US","sunny","","",NA,103.84,"07/18/2024 08:07",NA,NA,NA,NA,NA,548,8.6,"pH reading indicates the water is NOT suitable for irrigation",15.2,-24.4240305,30.5557343,536.2,4.766,2024-07-18 08:07:00,2024-07-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Kub001 US","Kubjaname","Kub001 US","sunny","","",NA,75.4,"07/17/2024 11:01",NA,NA,NA,NA,NA,107.4,7.75,"pH reading indicates the water is suitable for irrigation",16.2,-24.32285,30.4858483,703,4.6,2024-07-17 11:01:00,2024-07-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Motlamogatsana Site 1","Motlamogatsana","Site 1","sunny","","",10.19,14.1,"07/18/2024 09:32",NA,NA,NA,NA,NA,57.6,8.88,"pH reading indicates the water is NOT suitable for irrigation",13.8,-24.6531291,31.0398471,600.6,4.05,2024-07-18 09:32:00,2024-07-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Tshakhuma1","Levubu River","Tshakhuma1","sunny","","",8.67,84,"07/18/2024 09:41",NA,NA,NA,NA,NA,95,7.26,"pH reading indicates the water is suitable for irrigation",20.1,-23.0529785,30.2965635,660,4.75,2024-07-18 09:41:00,2024-07-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Treur River Site 2","Treur River","Site 2","sunny","","",8.97,NA,"07/18/2024 10:15",NA,NA,NA,NA,NA,60.3,8.64,"pH reading indicates the water is NOT suitable for irrigation",12.8,-24.68773333,30.81285,1139.7,3.9,2024-07-18 10:15:00,2024-07-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Treur River Site 1","Treur River","Site 1","sunny","","",59.6,14,"07/18/2024 10:27",NA,NA,NA,NA,NA,10.35,8.31,"pH reading indicates the water is suitable for irrigation",14,-24.67519,30.81154333,1112.4,4.1,2024-07-18 10:27:00,2024-07-18,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Mohlatsengwana Site 3","Mohlatsengwana","Site 3","sunny","","",10.6,13.9,"07/18/2024 10:17",NA,NA,NA,NA,NA,56,8.28,"pH reading indicates the water is suitable for irrigation",13.7,-24.6540527,31.0441936,588.1,3.946,2024-07-18 10:17:00,2024-07-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Site 1","Olifants","Site 1","sunny","","",NA,119.09,"07/18/2024 12:52",NA,NA,NA,NA,NA,542,8.55,"pH reading indicates the water is NOT suitable for irrigation",15.6,-24.361881,30.6586779,489.5,4.333,2024-07-18 12:52:00,2024-07-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 2","Mohlatsengwana","Site 2","sunny","","",81.2,NA,"07/18/2024 10:13",NA,NA,NA,NA,NA,596,7.7,"pH reading indicates the water is suitable for irrigation",13.8,-24.53960037,30.68936646,898.5980982,4.9,2024-07-18 10:13:00,2024-07-18,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Mohlatsengwana Site 1","Mohlatsengwana","Site 1","sunny","","",75.6,NA,"07/18/2024 08:46",NA,NA,NA,NA,NA,485,7.39,"pH reading indicates the water is suitable for irrigation",13.1,-24.55192131,30.67538717,861.4477862,4.9,2024-07-18 08:46:00,2024-07-18,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Vhembe BR","Levubu River Halambani site 1","Levubu River","Halambani site 1","sunny","","",NA,NA,"07/19/2024 10:11",NA,NA,NA,NA,NA,112,7.84,"pH reading indicates the water is suitable for irrigation",17.3,-22.7454063,30.8846055,460.3,4.766,2024-07-19 10:11:00,2024-07-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Halambani site 1","Levubu River","Halambani site 1","sunny","","",NA,NA,"07/19/2024 10:32",NA,NA,NA,NA,NA,112,7.84,"pH reading indicates the water is suitable for irrigation",17.3,-22.7454847,30.8844657,426,4.366,2024-07-19 10:32:00,2024-07-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Halambani site 1","Levubu River","Halambani site 1","sunny","","",NA,NA,"07/17/2024 10:57",NA,NA,NA,NA,NA,128.5,7.63,"pH reading indicates the water is suitable for irrigation",17.5,-22.7455028,30.8845416,418.3,4.65,2024-07-17 10:57:00,2024-07-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Halambani site 1","Levubu River","Halambani site 1","partly_cloudy","","",NA,NA,"07/05/2024 09:43",NA,NA,NA,NA,NA,139.6,7.85,"pH reading indicates the water is suitable for irrigation",18,-22.7454447,30.8844872,433.8,4.833,2024-07-05 09:43:00,2024-07-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 1","Levubu River","Lambani site 1","sunny","","",NA,NA,"07/19/2024 10:11",NA,NA,NA,NA,NA,112,7.84,"pH reading indicates the water is suitable for irrigation",17.3,-22.7454724,30.8845658,440.8,3.766,2024-07-19 10:11:00,2024-07-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moremela site 1 Moremela site 1","Moremela site 1","Moremela site 1","partly_cloudy","","",108.69,17.3,"07/22/2024 08:47",NA,NA,NA,NA,NA,32.6,8.33,"pH reading indicates the water is suitable for irrigation",18,-24.66408167,30.795445,1156,2.1,2024-07-22 08:47:00,2024-07-22,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Moremela site 2 Moremela site 2","Moremela site 2","Moremela site 2","partly_cloudy","","",8.98,108.69,"07/22/2024 11:09",NA,NA,NA,NA,NA,32.6,8.33,"pH reading indicates the water is suitable for irrigation",17.1,-24.67612333,30.80349,1122.7,2.5,2024-07-22 11:09:00,2024-07-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Kla001","Klaserie","Kla001","sunny","","",NA,NA,"07/22/2024 09:51",NA,NA,NA,NA,NA,38.9,9.7,"pH reading indicates the water is NOT suitable for irrigation",16.1,-24.6073156,30.9578815,682.7,4.666,2024-07-22 09:51:00,2024-07-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 1","Klaserie","Site 1","sunny","","",17.52,NA,"07/22/2024 10:45",NA,NA,NA,NA,NA,38.7,8.25,"pH reading indicates the water is suitable for irrigation",16.7,-24.6059316,30.9703889,679.4,4.96,2024-07-22 10:45:00,2024-07-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 2","Klaserie","Site 2","sunny","","",NA,NA,"07/22/2024 11:20",NA,NA,NA,NA,NA,39.9,7.09,"pH reading indicates the water is suitable for irrigation",17.3,-24.6044992,30.9730253,676.7,3.35,2024-07-22 11:20:00,2024-07-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 3","Klaserie","Site 3","sunny","","",NA,NA,"07/22/2024 11:56",NA,NA,NA,NA,NA,38.9,7.52,"pH reading indicates the water is suitable for irrigation",17.4,-24.6044293,30.9754307,674.7,4.466,2024-07-22 11:56:00,2024-07-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Blyde river Blyde river","Blyde river","Blyde river","sunny","","",8.72,105.54,"07/24/2024 08:30",NA,NA,NA,NA,NA,167.5,8.28,"pH reading indicates the water is suitable for irrigation",15,-24.68007833,30.80199833,1112.5,3.5,2024-07-24 08:30:00,2024-07-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Blyde river Blyde river","Blyde river","Blyde river","sunny","","",10.87,131.56,"07/24/2024 09:09",NA,NA,NA,NA,NA,167.8,8.08,"pH reading indicates the water is suitable for irrigation",14.68,-24.67906667,30.802435,1113,2.9,2024-07-24 09:09:00,2024-07-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 3","Kubjaname","Site 3","sunny","","",NA,82.66,"07/24/2024 09:52",NA,NA,NA,NA,NA,322,7.56,"pH reading indicates the water is suitable for irrigation",20.6,-24.3023224,30.5052414,634.2,1.96,2024-07-24 09:52:00,2024-07-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Kub001 US","Kubjaname","Kub001 US","sunny","","",NA,87.14,"07/24/2024 09:26",NA,NA,NA,NA,NA,116.2,7.53,"pH reading indicates the water is suitable for irrigation",17.4,-24.3226983,30.48583,735.4,5,2024-07-24 09:26:00,2024-07-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","sunny","","",NA,81.45,"07/24/2024 09:28",NA,NA,NA,NA,NA,123.7,8.01,"pH reading indicates the water is suitable for irrigation",20.6,-24.2587072,30.4538152,595.5,2.3,2024-07-24 09:28:00,2024-07-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Moe001 US","Moetladimo","Moe001 US","sunny","","",NA,91.02,"07/24/2024 09:28",NA,NA,NA,NA,NA,125.5,7.94,"pH reading indicates the water is suitable for irrigation",17.5,-24.2663376,30.4493527,601.9,4.85,2024-07-24 09:28:00,2024-07-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 3","Marakalala","Site 3","sunny","","",30.7,NA,"07/24/2024 10:37",NA,NA,NA,NA,NA,514,7.05,"pH reading indicates the water is suitable for irrigation",18.5,-24.5265952,30.71943364,839.8587849,4.9,2024-07-24 10:37:00,2024-07-24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Marakalala Site 1","Marakalala","Site 1","sunny","","",15.1,NA,"07/24/2024 11:54",NA,NA,NA,NA,NA,242,6.44,"pH reading indicates the water is NOT suitable for irrigation",21.8,-24.52280653,30.7072691,853.8498009,4.9,2024-07-24 11:54:00,2024-07-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Treur River Site 2","Treur River","Site 2","sunny","","",9.98,120.79,"07/25/2024 08:32",NA,NA,NA,NA,NA,65.7,7.81,"pH reading indicates the water is suitable for irrigation",13.9,-24.68775333,30.81287333,1148.6,4.5,2024-07-25 08:32:00,2024-07-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Treur River Site 1","Treur River","Site 1","sunny","","",10.19,122.33,"07/25/2024 10:19",NA,NA,NA,NA,NA,68,8.12,"pH reading indicates the water is suitable for irrigation",16.1,-24.675395,30.81169667,1108.7,2.5,2024-07-25 10:19:00,2024-07-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 2","Mohlatsengwana","Site 2","partly_cloudy","","",37.2,NA,"07/25/2024 10:02",NA,NA,NA,NA,NA,538,7.58,"pH reading indicates the water is suitable for irrigation",15.8,-24.53956496,30.68933435,869.3872274,4.9,2024-07-25 10:02:00,2024-07-25,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Mohlatsengwana Site 3","Mohlatsengwana","Site 3","partly_cloudy","","",14.7,NA,"07/25/2024 09:21",NA,NA,NA,NA,NA,510,7.77,"pH reading indicates the water is suitable for irrigation",15.3,-24.54065485,30.69551544,865.9006269,4.9,2024-07-25 09:21:00,2024-07-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moremela site 1 Moremela site 1","Moremela site 1","Moremela site 1","sunny","","",9.03,109.29,"07/29/2024 08:21",NA,NA,NA,NA,NA,3.48,8.22,"pH reading indicates the water is suitable for irrigation",13.5,-24.66392833,30.79549667,1116.6,3.4,2024-07-29 08:21:00,2024-07-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Motlamogatsana Site 3","Motlamogatsana","Site 3","sunny","","",NA,NA,"07/25/2024 12:03",NA,NA,NA,NA,NA,74.1,8.57,"pH reading indicates the water is NOT suitable for irrigation",16.4,-24.654057,31.0441295,585.9,3.137,2024-07-25 12:03:00,2024-07-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Motlamogatsana Site 1","Motlamogatsana","Site 1","sunny","","",0,0,"07/25/2024 11:11",NA,NA,NA,NA,NA,71.7,8.22,"pH reading indicates the water is suitable for irrigation",17.2,-24.6530716,31.0399707,627.4,4.55,2024-07-25 11:11:00,2024-07-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moremela site 2 Moremela site 2","Moremela site 2","Moremela site 2","sunny","","",10.97,132.77,"07/29/2024 11:26",NA,NA,NA,NA,NA,32.4,8.24,"pH reading indicates the water is suitable for irrigation",15.1,-24.67620667,30.80342,1131.7,2.3,2024-07-29 11:26:00,2024-07-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","sunny","","",NA,69.11,"07/30/2024 09:55",NA,NA,NA,NA,NA,116.8,8.17,"pH reading indicates the water is suitable for irrigation",18.1,-24.2587182,30.4536534,616.3999634,4.475,2024-07-30 09:55:00,2024-07-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Moe001 US","Moetladimo","Moe001 US","sunny","","",NA,61.12,"07/30/2024 08:43",NA,NA,NA,NA,NA,128.1,7.77,"pH reading indicates the water is suitable for irrigation",16.5,-24.2663994,30.4492969,602,4.583,2024-07-30 08:43:00,2024-07-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Blyde river Blyde river","Blyde river","Blyde river","partly_cloudy","","",9.68,117.16,"07/31/2024 12:25",NA,NA,NA,NA,NA,168.5,8.57,"pH reading indicates the water is NOT suitable for irrigation",15.2,-24.67998833,30.80190667,1111.8,1.9,2024-07-31 12:25:00,2024-07-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Blyde river Blyde river","Blyde river","Blyde river","partly_cloudy","","",11.16,135.07,"07/31/2024 12:56",NA,NA,NA,NA,NA,170.6,7.98,"pH reading indicates the water is suitable for irrigation",16.2,-24.67903167,30.802455,1099.5,2.7,2024-07-31 12:56:00,2024-07-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 3","Kubjaname","Site 3","cloudy","","",NA,78.07,"07/31/2024 13:32",NA,NA,NA,NA,NA,337,7.24,"pH reading indicates the water is suitable for irrigation",18.8,-24.3023049,30.50525,628.1,3.3,2024-07-31 13:32:00,2024-07-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 3","Mohlatsengwana","Site 3","partly_cloudy","","",12.6,NA,"07/31/2024 09:26",NA,NA,NA,NA,NA,550,7.69,"pH reading indicates the water is suitable for irrigation",14.9,-24.54060173,30.69546865,869.9107645,4.9,2024-07-31 09:26:00,2024-07-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 1","Mohlatsengwana","Site 1","partly_cloudy","","",74.7,NA,"07/31/2024 11:02",NA,NA,NA,NA,NA,611,7.64,"pH reading indicates the water is suitable for irrigation",15.6,-24.55189112,30.67545515,873.1243568,4.9,2024-07-31 11:02:00,2024-07-31,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Kubjaname Kub001 US","Kubjaname","Kub001 US","cloudy","","",NA,80.34,"07/31/2024 09:41",NA,NA,NA,NA,NA,115,7.63,"pH reading indicates the water is suitable for irrigation",16.4,-24.3228413,30.485895,695.6,4.825,2024-07-31 09:41:00,2024-07-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Treur River Site 2","Treur River","Site 2","sunny","","",9.06,109.65,"08/01/2024 08:29",NA,NA,NA,NA,NA,62.3,7.87,"pH reading indicates the water is suitable for irrigation",14.1,-24.68770333,30.81287667,1138.8,2,2024-08-01 08:29:00,2024-08-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Treur River Site 1","Treur River","Site 1","sunny","","",9.97,120.67,"08/01/2024 10:05",NA,NA,NA,NA,NA,64.1,7.84,"pH reading indicates the water is suitable for irrigation",15.6,-24.67532,30.81158333,1118.3,2,2024-08-01 10:05:00,2024-08-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Site 1","Olifants","Site 1","cloudy","","",NA,123.57,"08/01/2024 09:48",NA,NA,NA,NA,NA,551,8.22,"pH reading indicates the water is suitable for irrigation",17.6,-24.3619573,30.6586896,482,4.6,2024-08-01 09:48:00,2024-08-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 2","Klaserie","Site 2","partly_cloudy","","",18.43,NA,"07/29/2024 11:12",NA,NA,NA,NA,NA,52.7,12.2,"pH reading indicates the water is NOT suitable for irrigation",13.6,-24.6059652,30.9704029,707.2,4.85,2024-07-29 11:12:00,2024-07-29,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Klaserie Site 3","Klaserie","Site 3","sunny","","",13.97,NA,"07/29/2024 11:00",NA,NA,NA,NA,NA,52.9,10.15,"pH reading indicates the water is NOT suitable for irrigation",14.1,-24.6044957,30.9730323,670.2,3.966,2024-07-29 11:00:00,2024-07-29,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Klaserie Site 3","Klaserie","Site 3","sunny","","",NA,NA,"07/29/2024 11:32",NA,NA,NA,NA,NA,54.1,11.86,"pH reading indicates the water is NOT suitable for irrigation",14.1,-24.6043976,30.9754157,680.6,4.916,2024-07-29 11:32:00,2024-07-29,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Klaserie Kla001","Klaserie","Kla001","partly_cloudy","","",NA,6.85,"07/29/2024 09:13",NA,NA,NA,NA,NA,50.7,12.64,"pH reading indicates the water is NOT suitable for irrigation",12.7,-24.6068371,30.9580747,739.3,4.887,2024-07-29 09:13:00,2024-07-29,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Marakalala Site 3","Marakalala","Site 3","cloudy","","",74.1,18.3,"08/01/2024 09:39",NA,NA,NA,NA,NA,510,7.62,"pH reading indicates the water is suitable for irrigation",17.4,-24.52651895,30.71958938,842.0186449,4.9,2024-08-01 09:39:00,2024-08-01,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Marakalala Site 1","Marakalala","Site 1","cloudy","","",18.8,NA,"08/01/2024 10:54",NA,NA,NA,NA,NA,248,6.56,"pH reading indicates the water is suitable for irrigation",16.4,-24.52279366,30.70730014,850.9989435,4.9,2024-08-01 10:54:00,2024-08-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moremela site 1 Moremela site 1","Moremela site 1","Moremela site 1","sunny","","",9.46,114.5,"08/05/2024 08:32",NA,NA,NA,NA,NA,339,8.46,"pH reading indicates the water is suitable for irrigation",16.2,-24.66407667,30.79548667,1164.2,2.3,2024-08-05 08:32:00,2024-08-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Motlamogatsana Site 1","Motlamogatsana","Site 1","partly_cloudy","","",2.22,NA,"08/01/2024 10:46",NA,NA,NA,NA,NA,90.9,5.53,"pH reading indicates the water is NOT suitable for irrigation",16.4,-24.6530996,31.0398722,606.1,3.985,2024-08-01 10:46:00,2024-08-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Motlamogatsana Site 3","Motlamogatsana","Site 3","cloudy","","",1.78,15.8,"08/01/2024 11:29",NA,NA,NA,NA,NA,91.4,5.43,"pH reading indicates the water is NOT suitable for irrigation",15.6,-24.6541543,31.044178,622.4,4.025,2024-08-01 11:29:00,2024-08-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moremela site 2 Moremela site 2","Moremela site 2","Moremela site 2","sunny","","",10.39,125.75,"08/05/2024 10:41",NA,NA,NA,NA,NA,316,8.22,"pH reading indicates the water is suitable for irrigation",16.7,-24.67611833,30.80344333,1137.7,2.6,2024-08-05 10:41:00,2024-08-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
